program,-1,-1,1
pruebacondicional?,-55,-2,1
;,-75,-1,1
var,-15,-1,2
real,-12,-1,3
:,-77,-1,3
suma%,-52,-2,3
,,-76,-1,3
promedio%,-52,-2,3
;,-75,-1,3
int,-11,-1,4
:,-77,-1,4
a_1&,-51,-2,4
,,-76,-1,4
dos&,-51,-2,4
,,-76,-1,4
tres&,-51,-2,4
;,-75,-1,4
string,-13,-1,5
:,-77,-1,5
cadena#,-53,-2,5
,,-76,-1,5
texto#,-53,-2,5
;,-75,-1,5
bool,-14,-1,6
:,-77,-1,6
valor$,-54,-2,6
,,-76,-1,6
b$,-54,-2,6
;,-75,-1,6
begin,-2,-1,7
(,-73,-1,8
(,-73,-1,8
dos&,-51,-2,8
>=,-34,-1,8
tres&,-51,-2,8
),-74,-1,8
&&,-41,-1,8
(,-73,-1,8
b$,-54,-2,8
==,-35,-1,8
true,-64,-1,8
),-74,-1,8
),-74,-1,8
then,-16,-1,8
begin,-2,-1,9
write,-5,-1,10
(,-73,-1,10
"mayor",-63,-1,10
),-74,-1,10
;,-75,-1,10
tres&,-51,-2,11
:=,-26,-1,11
dos&,-51,-2,11
;,-75,-1,11
end,-3,-1,12
else,-7,-1,13
begin,-2,-1,14
if,-6,-1,15
(,-73,-1,15
a_1&,-51,-2,15
>,-33,-1,15
100,-61,-1,15
),-74,-1,15
then,-16,-1,15
begin,-2,-1,16
read,-4,-1,17
(,-73,-1,17
a_1&,-51,-2,17
),-74,-1,17
;,-75,-1,17
texto#,-53,-2,18
:=,-26,-1,18
"valor",-63,-1,18
;,-75,-1,18
end,-3,-1,19
else,-7,-1,20
begin,-2,-1,21
write,-5,-1,22
(,-73,-1,22
"mayor",-63,-1,22
),-74,-1,22
;,-75,-1,22
valor$,-54,-2,23
:=,-26,-1,23
false,-65,-1,23
;,-75,-1,23
end,-3,-1,24
end,-3,-1,25
end,-3,-1,26
